Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005882~intermediate filament	36	4.200700116686114	6.420484965605302E-15	388818, 337985, 337960, 337963, 100131902, 100288323, 643803, 337959, 337975, 337976, 337977, 337978, 337979, 140258, 337970, 254950, 337974, 337973, 100288287, 337972, 337879, 337971, 337878, 4741, 631, 4747, 160492, 643812, 55329, 337966, 337967, 284827, 337880, 337968, 337969, 337882	523	172	12245	4.90039574903286	2.504885188159278E-12	2.504885188159278E-12	8.948397578478762E-12
GOTERM_CC_FAT	GO:0045111~intermediate filament cytoskeleton	36	4.200700116686114	1.3478710125940836E-14	388818, 337985, 337960, 337963, 100131902, 100288323, 643803, 337959, 337975, 337976, 337977, 337978, 337979, 140258, 337970, 254950, 337974, 337973, 100288287, 337972, 337879, 337971, 337878, 4741, 631, 4747, 160492, 643812, 55329, 337966, 337967, 284827, 337880, 337968, 337969, 337882	523	176	12245	4.789023118373023	5.225708754608149E-12	2.6127988661528434E-12	1.866284904394888E-11
SP_PIR_KEYWORDS	keratin	31	3.6172695449241536	1.722854606306366E-14	388818, 337985, 337960, 337963, 100131902, 100288323, 643803, 337959, 337975, 337976, 337977, 337978, 337979, 140258, 337970, 254950, 337974, 100288287, 337973, 337972, 337879, 337971, 337878, 643812, 337966, 337967, 284827, 337880, 337968, 337969, 337882	753	134	18353	5.638570097718578	8.346101587619614E-12	8.346101587619614E-12	2.468025783741723E-11
INTERPRO	IPR007951:PMG	11	1.2835472578763127	9.802013196161057E-14	643812, 337959, 254950, 388818, 337960, 284827, 337963, 100131902, 337880, 643803, 140258	636	11	15967	25.105345911949684	1.0126777194585657E-10	1.0126777194585657E-10	1.5553114351973818E-10
PIR_SUPERFAMILY	PIRSF000050:cytochrome P450 CYP4B1	6	0.7001166861143524	6.43330424683273E-5	126410, 66002, 11283, 4051, 8529, 57834	287	12	7098	12.365853658536587	0.01949402962320257	0.01949402962320257	0.08619355227643677
GOTERM_CC_FAT	GO:0005856~cytoskeleton	86	10.035005834305718	1.0152470240316268E-4	989, 10243, 54518, 29999, 337985, 800, 100288323, 643803, 9859, 9750, 337975, 11155, 337976, 337977, 23077, 337978, 337979, 140258, 337970, 830, 26499, 6780, 337974, 337973, 337879, 337972, 337878, 337971, 4741, 631, 4747, 160492, 10006, 55329, 4751, 337966, 53904, 337967, 7171, 337880, 4644, 337968, 337882, 337969, 4168, 6444, 23637, 3800, 388818, 4739, 337960, 1783, 337963, 100131902, 11034, 8796, 7188, 337959, 28951, 23092, 60412, 10806, 10463, 84517, 55930, 254950, 10253, 6623, 26052, 100288287, 7114, 9758, 1062, 1539, 643812, 1832, 29766, 55342, 7095, 29767, 2037, 8701, 284827, 88, 57475, 54801	523	1341	12245	1.5015049697508924	0.038725349361386496	0.013078757973015276	0.14094025808203403
GOTERM_CC_FAT	GO:0044430~cytoskeletal part	63	7.351225204200699	2.1360197764286513E-4	989, 337985, 800, 100288323, 643803, 9859, 337975, 337976, 337977, 337978, 337979, 140258, 337970, 830, 6780, 337974, 337973, 337972, 337879, 337878, 337971, 4741, 631, 4747, 160492, 55329, 4751, 337966, 53904, 7171, 337967, 337880, 4644, 337968, 337882, 337969, 23637, 3800, 388818, 4739, 337960, 1783, 337963, 100131902, 11034, 7188, 337959, 60412, 10806, 55930, 254950, 10253, 100288287, 26052, 6623, 1062, 1539, 643812, 2037, 8701, 284827, 88, 54801	523	923	12245	1.5980705530432187	0.07974092450773784	0.02056069734147048	0.296315887256271
SP_PIR_KEYWORDS	polymorphism	504	58.809801633605595	9.049293897408545E-4	8883, 79705, 54103, 5230, 57205, 63923, 3479, 27068, 170691, 10994, 6870, 1310, 150962, 50615, 538, 604, 374470, 79812, 222545, 85865, 23503, 222546, 90527, 5362, 90141, 135154, 8728, 168400, 25780, 84896, 340351, 5218, 387763, 120065, 1814, 120066, 730, 729799, 6750, 1434, 256586, 10875, 255082, 2975, 729, 8756, 27288, 6745, 2834, 347487, 220, 55930, 27094, 79831, 1300, 1832, 429, 7324, 27299, 6382, 51284, 58472, 10744, 341277, 5126, 840, 53905, 79846, 5334, 55276, 94233, 25896, 2246, 2894, 7259, 154007, 84868, 94234, 390892, 78996, 344657, 57492, 976, 29940, 405753, 831, 23548, 344658, 55127, 57495, 2122, 123, 10863, 8824, 2259, 6197, 56898, 55329, 2258, 53904, 5122, 6194, 10050, 10667, 284434, 10668, 344892, 140836, 55259, 283298, 28957, 340485, 83989, 29106, 28951, 8907, 126410, 285600, 147, 285782, 858, 27151, 6996, 1203, 643812, 5000, 10786, 51144, 55342, 8701, 9334, 84830, 57475, 126402, 7366, 133308, 688, 2643, 29999, 79782, 158521, 10699, 10799, 343035, 2745, 6167, 9450, 2296, 54914, 9750, 11155, 9652, 55024, 132724, 54816, 2158, 9358, 4033, 9255, 408263, 8495, 114815, 9153, 11283, 2162, 23312, 83890, 152519, 83891, 152518, 3998, 145226, 2628, 10270, 113230, 3026, 11034, 146225, 113540, 83550, 126541, 79029, 4012, 9231, 55010, 54602, 10681, 9562, 23431, 4811, 79571, 158297, 4008, 11128, 29767, 221303, 221302, 79772, 23333, 54801, 202299, 2918, 53335, 196, 10396, 9825, 54951, 9002, 29062, 9975, 3593, 23216, 9779, 60682, 631, 54960, 6938, 79949, 204219, 6934, 56940, 732360, 6238, 6239, 54974, 3175, 9674, 60412, 657, 9937, 11063, 4713, 652, 2922, 6236, 4711, 654, 1539, 54848, 135458, 11169, 338323, 2037, 3566, 168850, 5731, 2334, 2332, 9859, 84674, 23270, 337975, 7163, 337976, 337977, 5740, 337979, 6615, 55758, 337971, 3096, 388121, 28316, 1588, 54898, 203430, 5648, 160492, 54790, 4892, 10475, 80219, 7171, 4790, 337968, 337969, 22797, 126370, 92346, 401124, 221692, 388818, 3745, 3845, 136332, 9882, 3841, 100129792, 7188, 55669, 55667, 55661, 4233, 83732, 2444, 10590, 10212, 30062, 158747, 143425, 1062, 345895, 152573, 114884, 55536, 132112, 153745, 56204, 4148, 4854, 254158, 9073, 92667, 3964, 92126, 55604, 390093, 23228, 342979, 2572, 4741, 64062, 23161, 9060, 84449, 23369, 23165, 4747, 728568, 93627, 4548, 7982, 4751, 4850, 7634, 56605, 64167, 4644, 51555, 55761, 2560, 51559, 4739, 4126, 10365, 65986, 3702, 84456, 66002, 337959, 286204, 10564, 4051, 64864, 133558, 10463, 117286, 10464, 5728, 261729, 55770, 254950, 10253, 55777, 23247, 55775, 2690, 153643, 153642, 7761, 50506, 125972, 1003, 57579, 54518, 1297, 57577, 26658, 27334, 64116, 26266, 401494, 55180, 5019, 170622, 6414, 23077, 8529, 30817, 26664, 7547, 26762, 255743, 1906, 27123, 64224, 643161, 10000, 23476, 10006, 197370, 57169, 8539, 23063, 6555, 619279, 285636, 151126, 26872, 1910, 22852, 54537, 342035, 256714, 26532, 64926, 26538, 26285, 26539, 10523, 22859, 10017, 5562, 83468, 147372, 10806, 116984, 84517, 6568, 51700, 5566, 23491, 1112, 5053, 8665, 154075, 6671, 389558, 1259, 26136, 85025, 284827, 388182, 23597, 64342, 26333, 51311, 88, 5890, 221120, 5782, 22836, 384, 57639, 55286, 441168, 22936, 55281, 114770, 5989, 151827, 5585, 150159, 26499, 128178, 340267, 5078, 22841, 389208, 57834, 85360, 57129, 57128, 231, 5597, 6652, 285195, 26496, 337880, 5279, 6444, 84658, 57703, 7143, 51752, 100131902, 91404, 5457, 57117, 8796, 1033, 91937, 57016, 374354, 64108, 6623, 91746, 55576, 1014, 5290, 201633, 356, 285025, 441282, 84250, 286410	753	11277	18353	1.0893038646160238	0.3553768886633307	0.19711575470889375	1.2897520609341684
SP_PIR_KEYWORDS	egf-like domain	21	2.4504084014002334	0.001103219732992343	2158, 84658, 976, 4148, 9358, 4854, 63923, 7143, 10863, 255743, 55576, 5648, 3026, 729, 8728, 286204, 4811, 147372, 4052, 730, 30817	753	227	18353	2.2547870193235866	0.41453971724649974	0.16343604917446808	1.5702909076625748
GOTERM_CC_FAT	GO:0048471~perinuclear region of cytoplasm	24	2.8004667444574096	0.0024031070620398817	4012, 54602, 26052, 6623, 2572, 381, 858, 857, 10523, 1539, 1203, 1033, 9685, 3778, 25780, 356, 25843, 7163, 11155, 538, 80762, 7184, 5122, 26999	523	284	12245	1.978563541863033	0.6077805100296825	0.17071113491507006	3.287044109518711
