Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PIR_SUPERFAMILY	PIRSF003152:G protein-coupled olfactory receptor, class II	116	10.545454545454545	3.2482691546241604E-68	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 120586, 219952, 219493, 219954, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 219438, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 390113, 390181, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 403274, 403277, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 219958, 219959, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 219464, 219469, 219968, 81309, 26188, 81328, 283694	415	299	7098	6.635515976951283	1.0849218976444696E-65	1.0849218976444696E-65	4.411675230581683E-65
INTERPRO	IPR000725:Olfactory receptor	116	10.545454545454545	7.57913877854387E-63	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 120586, 219952, 219493, 219954, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 219438, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 390113, 390181, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 403274, 403277, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 219958, 219959, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 219464, 219469, 219968, 81309, 26188, 81328, 283694	811	350	15967	6.52517879161529	8.18546988082738E-60	8.18546988082738E-60	1.2092258084232912E-59
SP_PIR_KEYWORDS	olfaction	116	10.545454545454545	2.0743745005305295E-61	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 120586, 219952, 219493, 219954, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 219438, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 390113, 390181, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 403274, 403277, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 219958, 219959, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 219464, 219469, 219968, 81309, 26188, 81328, 283694	932	357	18353	6.398540532092665	9.915510112535931E-59	9.915510112535931E-59	2.9682817420027216E-58
GOTERM_MF_FAT	GO:0004984~olfactory receptor activity	116	10.545454545454545	1.3001764811724009E-60	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 120586, 219952, 219493, 219954, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 219438, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 390113, 390181, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 403274, 403277, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 219958, 219959, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 219464, 219469, 219968, 81309, 26188, 81328, 283694	669	352	12441	6.128363228699552	9.270258310759218E-58	9.270258310759218E-58	1.9655755755107315E-57
GOTERM_BP_FAT	GO:0007608~sensory perception of smell	117	10.636363636363637	1.9052789866534293E-59	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 120586, 219952, 219493, 219954, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 5137, 219438, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 390113, 390181, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 403274, 403277, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 219958, 219959, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 219464, 219469, 219968, 81309, 26188, 81328, 283694	681	374	12981	5.963144008103843	4.620301542634566E-56	4.620301542634566E-56	3.349466007659414E-56
GOTERM_BP_FAT	GO:0007606~sensory perception of chemical stimulus	118	10.727272727272727	1.7120429845110226E-54	10798, 219484, 219482, 402135, 219487, 5024, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 120586, 219952, 219493, 219954, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 5137, 219438, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 390113, 390181, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 403274, 403277, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 219958, 219959, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 219464, 219469, 219968, 81309, 26188, 81328, 283694	681	419	12981	5.36820413613281	4.1517042374392295E-51	2.0758521187196148E-51	3.0097585815208154E-51
KEGG_PATHWAY	hsa04740:Olfactory transduction	108	9.818181818181818	8.718778737006432E-51	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 120586, 219952, 219493, 219954, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 9626, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 5137, 219438, 219437, 219436, 390174, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 284521, 390113, 390181, 441933, 26696, 390144, 390142, 81050, 401993, 401994, 219453, 401992, 283189, 127623, 219447, 26245, 390168, 81300, 390167, 81327, 390162, 81469, 219965, 441608, 219960, 219477, 219958, 219959, 219479, 219956, 219957, 219473, 26246, 79310, 403239, 81470, 390157, 81472, 403253, 127077, 390151, 127074, 391211, 390152, 390155, 390154, 219464, 219469, 219968, 26188, 81309, 81328, 283694	298	363	4949	4.941039436463475	1.2467853593919198E-48	1.2467853593919198E-48	1.0325538035189966E-47
SP_PIR_KEYWORDS	sensory transduction	125	11.363636363636363	2.6124869909767578E-48	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 6096, 120586, 219952, 219493, 219954, 6785, 169522, 24, 391191, 391192, 391190, 391189, 256148, 79295, 343169, 254879, 127059, 283092, 283093, 219428, 219429, 282770, 55212, 284532, 22999, 282775, 343563, 338674, 338675, 256144, 390538, 219432, 219431, 219438, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 390113, 8754, 390181, 441933, 390148, 26696, 390144, 81341, 390142, 8842, 81050, 401993, 401994, 219453, 401992, 403274, 403277, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 346007, 219958, 219959, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 219464, 219968, 219469, 81309, 26188, 81328, 283694	932	538	18353	4.575292770872887	1.2487687816868903E-45	6.2438439084344515E-46	3.7382822795752026E-45
INTERPRO	IPR017452:GPCR, rhodopsin-like superfamily	131	11.90909090909091	1.4033270425419839E-44	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 134391, 120586, 219952, 219493, 219954, 1903, 391191, 391192, 391190, 3351, 3354, 391189, 256148, 79295, 343169, 254879, 127059, 2840, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 2838, 219432, 219431, 219438, 2831, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 187, 390113, 9170, 390181, 84109, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 11250, 403274, 403277, 1133, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 3358, 219958, 219959, 4986, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 2693, 219464, 219968, 219469, 81309, 26188, 81328, 283694	811	640	15967	4.029895576448828	1.5155932059453426E-41	7.577966029726713E-42	2.2389605561835597E-41
INTERPRO	IPR000276:7TM GPCR, rhodopsin-like	131	11.90909090909091	1.682238421429966E-44	10798, 219484, 219482, 402135, 219487, 391194, 391196, 391195, 127062, 127064, 127066, 127068, 127069, 343172, 343173, 343171, 134391, 120586, 219952, 219493, 219954, 1903, 391191, 391192, 391190, 3351, 3354, 391189, 256148, 79295, 343169, 254879, 127059, 2840, 283092, 283093, 219428, 219429, 282770, 284532, 282775, 343563, 338674, 338675, 256144, 390538, 2838, 219432, 219431, 219438, 2831, 219437, 219436, 390174, 26341, 219417, 81168, 119765, 26338, 26339, 119764, 390191, 390190, 284521, 187, 390113, 9170, 390181, 84109, 441933, 390148, 26696, 390144, 81341, 390142, 81050, 401993, 401994, 219453, 401992, 11250, 403274, 403277, 1133, 403278, 283189, 403273, 127623, 219447, 26245, 390168, 81300, 390167, 403244, 81327, 390162, 81469, 219965, 441608, 81466, 219960, 219477, 3358, 219958, 219959, 4986, 219479, 219956, 219957, 219473, 79310, 26246, 403239, 390157, 81470, 81472, 403253, 127077, 390151, 127074, 390152, 391211, 390155, 390154, 2693, 219464, 219968, 219469, 81309, 26188, 81328, 283694	811	641	15967	4.023608687874026	1.8168174951443635E-41	6.056058317147878E-42	2.6839541728317456E-41
